(2.125160778671503, ([4], 0.0005, 1))
(1.469621960878372, ([4], 0.0005, 2))
(1.6794742723107337, ([4], 0.0005, 3))
(2.119256761670113, ([4], 0.0005, 4))
(1.682971172094345, ([4], 0.0005, 5))
(1.9429591827392578, ([4], 0.001, 1))
(2.8374332325458527, ([4], 0.001, 2))
(0.7566587719917297, ([4], 0.001, 3))
(2.046671019792557, ([4], 0.001, 4))
(2.7868125516921283, ([4], 0.001, 5))
(0.6344696836471557, ([4], 0.0015, 1))
(1.5916719036102294, ([4], 0.0015, 2))
(0.8721533343791961, ([4], 0.0015, 3))
(1.6850971060991289, ([4], 0.0015, 4))
(1.8539813332557677, ([4], 0.0015, 5))
(1.2475345343351365, ([4], 0.002, 1))
(0.7771858620643616, ([4], 0.002, 2))
(0.9548940262794495, ([4], 0.002, 3))
(1.9889626474380493, ([4], 0.002, 4))
(1.188370767593384, ([4], 0.002, 5))
(1.2295724618434907, ([4], 0.0025, 1))
(1.6537735402584075, ([4], 0.0025, 2))
(1.5218102440834045, ([4], 0.0025, 3))
(1.183055059671402, ([4], 0.0025, 4))
(1.0677383990287779, ([4], 0.0025, 5))
(2.0236781554222105, ([4], 0.003, 1))
(1.9535570785999297, ([4], 0.003, 2))
(1.651282592177391, ([4], 0.003, 3))
(3.028039355635643, ([4], 0.003, 4))
(1.1139539003372192, ([4], 0.003, 5))
(1.4749576151371002, ([4], 0.0035, 1))
(0.924413302898407, ([4], 0.0035, 2))
(2.0352858633995057, ([4], 0.0035, 3))
(1.7049064174890518, ([4], 0.0035, 4))
(1.142888613462448, ([4], 0.0035, 5))
(2.1663016006946565, ([4], 0.004, 1))
(1.196593029975891, ([4], 0.004, 2))
(1.555755013346672, ([4], 0.004, 3))
(1.2318392076492308, ([4], 0.004, 4))
(1.1080850009918213, ([4], 0.004, 5))
(1.3897870664596557, ([4], 0.0045000000000000005, 1))
(2.2585209727287294, ([4], 0.0045000000000000005, 2))
(2.251863440930843, ([4], 0.0045000000000000005, 3))
(1.2783189342021941, ([4], 0.0045000000000000005, 4))
(0.9744018317312001, ([4], 0.0045000000000000005, 5))
(0.8121113591194152, ([4], 0.005000000000000001, 1))
(2.2895101920366288, ([4], 0.005000000000000001, 2))
(2.408557823419571, ([4], 0.005000000000000001, 3))
(1.7341739401817322, ([4], 0.005000000000000001, 4))
(1.9883593261241912, ([4], 0.005000000000000001, 5))
(1.2333828480243683, ([4], 0.0055, 1))
(1.0557147414088248, ([4], 0.0055, 2))
(1.0742675292491914, ([4], 0.0055, 3))
(1.9400900337696076, ([4], 0.0055, 4))
(2.6134102360010147, ([4], 0.0055, 5))
(2.418180480957031, ([4], 0.006, 1))
(1.6701910138130187, ([4], 0.006, 2))
(1.6619168400764466, ([4], 0.006, 3))
(1.859158186674118, ([4], 0.006, 4))
(1.206805272579193, ([4], 0.006, 5))
(2.30061660861969, ([4], 0.006500000000000001, 1))
(1.4924083862304687, ([4], 0.006500000000000001, 2))
(2.042312620639801, ([4], 0.006500000000000001, 3))
(1.154410301208496, ([4], 0.006500000000000001, 4))
(1.8287176967263221, ([4], 0.006500000000000001, 5))
(0.93210252392292, ([4], 0.007000000000000001, 1))
(1.4044852242469787, ([4], 0.007000000000000001, 2))
(1.9849949927330015, ([4], 0.007000000000000001, 3))
(1.9089387156665325, ([4], 0.007000000000000001, 4))
(1.3386366605758666, ([4], 0.007000000000000001, 5))
(0.7647771673202514, ([4], 0.0075, 1))
